Informazioni cronologiche	I agree to participate in the research study. I understand the purpose and nature of this study and I am participating voluntarily. I grant permission for the data generated from this interview to be used in the researcher's publications on this topic. 	Age	Gender	Country where you work	Type of Mental Health Service	Type of Mental Health Professional	Is your area provided with an electronic health record?	Was your normal practice disrupted during the emergency?	If yes, which was the main reason for such disruption?	If yes, how much was your practice affected?	How have you provided mental health care DURING the emergency?	Which of the following tools have you used DURING the emergency to provide mental health care?	Which of the following services have you provided using telecommunications DURING the emergency ?	Were telecommunication tools available in your Mental Health Service?	What percentage of your mental health care have you provided using telecommunications DURING the emergency?	Have you found telepsychiatry useful to reach out and support patients DURING the emergency?	How did you use to provide mental health care BEFORE the emergency?	Which of the following tools were you using BEFORE the emergency to provide mental health care?	Which of the following services were you providing using telecommunications BEFORE the emergency ?	What percentage of your mental health care were you providing using telecommunications BEFORE the emergency?	Did you find telepsychiatry useful to reach out and support patients BEFORE the emergency?	Which age do you think telepsychiatry is mostly suited to?	Which of the following groups would benefit the most from telepsychiatry in your opinion?	Which of the following disorders would you treat using telepsychiatry?	Telepsychiatry is widely implemented in my Country	Telepsychiatry is expensive	Telepsychiatry is as valid, accurate and effective as face-to-face care	Telepsychiatry allows to establish a good doctor-patient relationship	Telepsychiatry allows to save time and fits well into my daily schedule	Telepsychiatry is advantageous on the patient side as it reduces the need for time off work, childcare services, etc. to access appointments	Telepsychiatry comes with confidentiality issues that limit its employ	Telepsychiatry improves access to mental health specialty care that might not otherwise be available	Telepsychiatry reduces the barrier of stigma	I am enough prepared to use telecommunications in my practice	I am satisfied with the care I am able to provide using telepsychiatry
15/06/2020 11.30.41	Yes	20-30	Male	Russian Federation	Public mental health outpatient clinic, Public mental health inpatient clinic	Adult psychiatrist, Old age psychiatrist	Yes	Yes	Block of outpatient services	5	Exclusively remotely, using telecommunications	Phone (calls, texts), Videoconferencing	Drug therapy monitoring, Synchronous psychoterapy	Yes, they were widely available BEFORE the emergency	Less than 25%	4	Mixed, mostly face-to-face	Phone (calls, texts), Videoconferencing	Provide consultation to primary care/other specialist, Drug therapy monitoring, Drug therapy prescription, Synchronous psychoterapy	Less than 25%	4	Any	Any	Depressive disorders, Bipolar disorders, Social anxiety	3	3	4	4	4	4	4	4	4	4	4
15/06/2020 13.38.39	Yes	41-50	Female	Ireland	Voluntary body	Psychologist	No	Yes	Lockdown	6	Exclusively remotely, using telecommunications	Phone (calls, texts), Videoconferencing, e-mail	Provide consultation to primary care/other specialist, Assessing/Monitoring patients already under my care, Assessing/Monitoring recent onset-patients, Supervision	Yes, they have been introduced and enabled DURING the emergency	More than 75%	3	Mixed, mostly face-to-face	Phone (calls, texts), e-mail	Provide consultation to primary care/other specialist, Require consultation from other specialists, Assessing/Monitoring patients already under my care	Less than 25%	2	Adult, Support teams of staff	Patients living in rural/remote settings, Caregivers of patients suffering with chronic conditions	Autism spectrum disorders, ADHD	2	2	3	3	5	4	4	5	4	5	4
15/06/2020 16.55.25	Yes	>60	Female	Ireland 	Private mental health clinic	Psychologist, Psychoanalyst	No	Yes	Lockdown	7	Mixed, mostly remotely using telecommunications	Phone (calls, texts), Videoconferencing, e-mail, Home visits to clients wearing PPE	Provide consultation to primary care/other specialist, Assessing/Monitoring patients already under my care, Managing mental health emergency, Mental health consultation to palliative care 	Yes, they have been introduced and enabled DURING the emergency	25-50%	3	Mixed, mostly face-to-face	Phone (calls, texts), Videoconferencing	Provide consultation to primary care/other specialist, Assessing/Monitoring patients already under my care, Managing mental health emergency	Less than 25%	2	Adult	Patients living in rural/remote settings, Caregivers of patients suffering with chronic conditions, My field of expertize  is mental health in oncology and palliative care 	Social anxiety	3	2	1	2	3	2	4	5	4	5	2
15/06/2020 19.03.02	Yes	>60	Male	Ireland	Private Psychotherapy 	Psychologist	I do not know	Yes	Lockdown	5	Exclusively remotely, using telecommunications	Phone (calls, texts), Videoconferencing	Provide consultation to primary care/other specialist	No, I have used personal tools on my own initiative	More than 75%	4	Exclusively face-to-face	Phone (calls, texts), Chat (Whatsapp, Telegram etc), e-mail	Provide consultation to primary care/other specialist	Less than 25%	3	Adult	Patients living in rural/remote settings	Depressive disorders, Bipolar disorders, Schizophrenia and other psychotic disorders, Eating disorders	4	1	2	2	5	5	3	5	5	5	4
16/06/2020 2.07.21	Yes	>60	Female	Ireland	Private mental health clinic	Psychologist	No	Yes	Lockdown	8	Exclusively remotely, using telecommunications	Phone (calls, texts), Videoconferencing, e-mail	Assessing/Monitoring patients already under my care	No, I have used personal tools on my own initiative	More than 75%	3	Exclusively face-to-face	Phone (calls, texts), Chat (Whatsapp, Telegram etc)	Assessing/Monitoring patients already under my care, Managing mental health emergency	Less than 25%	2	Adult	Patients living in rural/remote settings, Caregivers of patients suffering with chronic conditions	Depressive disorders, Panic disorder, Social anxiety, Post-traumatic stress disorder	3	2	3	3	4	4	2	5	4	4	4
16/06/2020 8.52.01	Yes	41-50	Male	Ireland	Organisational Psychology	Org Psych	I do not know	Yes	Lockdown	7	Exclusively remotely, using telecommunications	Phone (calls, texts), Videoconferencing, e-mail	Mostly work related stress, coaching for different reasons	Yes, they have been introduced and enabled DURING the emergency	More than 75%	5	Mixed, mostly face-to-face	Phone (calls, texts), Videoconferencing, e-mail	Org psych	More than 75%	3	Cannot say.bonly work with adults of working age.	Cannot say		3	4	3	3	5	4	2	4	4	5	4
16/06/2020 11.14.48	Yes	31-40	Female	Europe	Private mental health clinic	Psychologist	No	Yes	I chose to move consultation online for safety and security	5	Mixed, mostly remotely using telecommunications	Phone (calls, texts), Supported telemedicine system	Provide consultation to primary care/other specialist, Require consultation from other specialists, Managing mental health emergency, providing psychological therapy to my service users	Yes, they were widely available BEFORE the emergency	More than 75%	5	Mixed, mostly remotely using telecommunications	Supported telemedicine system	Provide consultation to primary care/other specialist, Require consultation from other specialists, psychological therapy	More than 75%	5	Adult	Patients living in rural/remote settings, chronic pain, perinatal depression, those who travel	Depressive disorders, Bipolar disorders, Panic disorder, Social anxiety, Obsessive-compulsive disorder and related disorders, Post-traumatic stress disorder, Substance use disorders, Behavioral addictions, Eating disorders	3	3	5	5	4	5	5	5	5	5	5
16/06/2020 12.41.32	Yes	51-60	Other	Belgium	Private mental health clinic	Psychologist, Psychotherapist, Neuropsychologist	I do not know	No			Exclusively remotely, using telecommunications	Chat (Whatsapp, Telegram etc), Videoconferencing	Assessing/Monitoring patients already under my care, Assessing/Monitoring recent onset-patients, Psychotherapy	No, I have used personal tools on my own initiative	More than 75%	5	Mixed, mostly face-to-face	Chat (Whatsapp, Telegram etc), Videoconferencing	Assessing/Monitoring patients already under my care, Assessing/Monitoring recent onset-patients, Neuropsychology	Less than 25%	5	Child and adolescent, Adult, Elderly	Any	Any	2	1	3	5	5	5	3	5	5	5	5
16/06/2020 22.30.51	Yes	31-40	Male	united states of america	Public mental health outpatient clinic, residential mental health	Adult psychiatrist	Yes	Yes	Lockdown	2	Mixed, mostly remotely using telecommunications	Phone (calls, texts), Videoconferencing, e-mail, Electronic health record, Supported telemedicine system	Provide consultation to primary care/other specialist, Require consultation from other specialists, Assessing/Monitoring patients already under my care, Assessing/Monitoring recent onset-patients, Drug therapy prescription, Synchronous psychoterapy	Yes, they have been introduced and enabled DURING the emergency	More than 75%	5	Mixed, mostly remotely using telecommunications	Phone (calls, texts), Electronic health record, Supported telemedicine system	Provide consultation to primary care/other specialist, Require consultation from other specialists, Assessing/Monitoring patients already under my care, Assessing/Monitoring recent onset-patients, Drug therapy prescription, Synchronous psychoterapy	51-75%	5	Any	Any	Any	2	2	4	4	5	4	1	4	4	4	4
16/06/2020 23.38.40	Yes	>60	Male	Ireland	Private Psychotherapy 	Psychologist	I do not know	Yes	Lockdown	5	Exclusively remotely, using telecommunications	Phone (calls, texts), Videoconferencing	Provide consultation to primary care/other specialist	No, I have used personal tools on my own initiative	More than 75%	4	Exclusively face-to-face	Phone (calls, texts), Chat (Whatsapp, Telegram etc), e-mail	Provide consultation to primary care/other specialist	Less than 25%	3	Adult	Patients living in rural/remote settings	Depressive disorders, Bipolar disorders, Schizophrenia and other psychotic disorders, Eating disorders	4	1	2	2	5	5	3	5	5	5	4
